specimen,split,train_ratio,model,rmse_forecast,mae_forecast,sigma,loglik,AIC,BIC,n_fit,n_calibration,n_forecast,coverage_90,interval_width_90,wis_90,threshold_q80_median,threshold_q80_q05,threshold_q80_q95,p_threshold_q80_by_end,published_hybrid_available,C0,k,alpha,f_inf,tau,beta,C_inf,Delta,lambda
C3,70/30,0.7,KWW,1.559523822595364,1.4752712804562016,0.004991058304816423,56.33636282714302,-104.67272565428604,-102.116496335825,14,3,8,,,,,,,,True,99.69645298363007,,,,1763795019.701906,0.45721372078490585,-22001.472619349166,,
C4,50/50,0.5,Classical,9.667066660578742,8.108087942520314,0.00809266153092419,35.478590785869955,-64.95718157173991,-64.04942629275777,10,2,13,,,,,,,,True,,,,,,,82.97614694276123,15.720597282548077,0.010408261883356756
C4,50/50,0.5,FOK,3.5661717334577534,2.5109848902561156,0.006086004402890991,38.828249708571704,-69.65649941714341,-68.44615904516722,10,2,13,0.8461538461538461,8.313330455333475,20.91314248827077,297.26045973946805,266.4466298536651,411.14318113367784,0.9889112903225806,True,99.45529497876682,0.005555389463738678,0.6398824325105957,1.0023498581779738e-06,,,,,
C4,50/50,0.5,KWW,2.668886666395871,1.7725845256238295,0.005786451091344772,39.33297579707177,-70.66595159414354,-69.45561122216735,10,2,13,,,,,,,,True,99.56326299198523,,,,53928243.980296195,0.5910915204142784,-26512.805521624945,,
C4,60/40,0.6,Classical,9.031441384375988,7.663691811615169,0.007512034824371378,43.16772441660075,-80.3354488332015,-78.88072888383749,12,3,10,,,,,,,,True,,,,,,,80.41938887921025,18.157501345134772,0.008199358350922701
C4,60/40,0.6,FOK,3.838846202313233,2.771086784257649,0.00551093301375207,47.38499367149634,-86.76998734299268,-84.83036074384067,12,3,10,0.6,5.262018951966906,26.05724310345288,292.6454771699292,267.6372774453562,330.2084142752719,1.0,True,99.41737434845878,0.005347796407338277,0.6477503349090582,1.0000384917115076e-06,,,,,
C4,60/40,0.6,KWW,2.954222344178292,2.0296613202170533,0.00522705694507706,48.01962022036149,-88.03924044072298,-86.09961384157097,12,3,10,,,,,,,,True,99.54717523691981,,,,40921342.01051429,0.5936996168736584,-23226.41155928917,,
C4,70/30,0.7,Classical,7.269429668529072,5.921445709403741,0.007538088573791398,50.06387340976605,-94.1277468195321,-92.21057483068633,14,3,8,,,,,,,,True,,,,,,,76.02516184854268,22.365295090627793,0.005844849124845945
C4,70/30,0.7,FOK,3.462179460416599,2.4851528854771345,0.0053618264683386605,55.33316897610122,-102.66633795220244,-100.1101086337414,14,3,8,0.625,3.8762951189368913,26.892668483504785,280.0639183913555,265.04284824349,299.25176335984577,1.0,True,99.25860815112044,0.0045452385277343615,0.6817219450071189,1.0000018468739225e-06,,,,,
C4,70/30,0.7,KWW,2.6766505342475537,1.7912240612236978,0.00496409386994481,56.41220355860679,-104.82440711721358,-102.26817779875255,14,3,8,,,,,,,,True,99.44298112418517,,,,27177946.923587587,0.6159949117436376,-23942.44602747759,,
C5,50/50,0.5,Classical,8.547386098198915,7.806128794251635,0.010355576978364195,33.012915326981215,-60.02583065396243,-59.11807537498029,10,2,13,,,,,,,,True,,,,,,,82.22023832515163,16.13958850864724,0.010066361955712045
C5,50/50,0.5,FOK,3.0320252073805283,2.9025288951288704,0.008442840736578857,35.554979136366235,-63.10995827273247,-61.89961790075628,10,2,13,0.5384615384615384,7.201029788824602,11.496442737029012,301.9909641473273,244.84054956441784,449.3571381600972,0.981,True,99.2975718520077,0.006335185408880145,0.6159187236504234,1.3848567296026465e-06,,,,,
C5,50/50,0.5,KWW,2.328997782763797,2.2671402702969936,0.008130782274930764,35.93159606067976,-63.86319212135952,-62.65285174938333,10,2,13,,,,,,,,True,99.44233607950477,,,,74909609.00851421,0.5620168738911389,-22184.192696028767,,
C5,60/40,0.6,Classical,5.9998413872279075,5.486339904262276,0.00945986604277272,40.40110227836844,-74.80220455673688,-73.34748460737288,12,3,10,,,,,,,,True,,,,,,,77.30763214718246,20.872762993408575,0.0067488493233821235
C5,60/40,0.6,FOK,1.4877263896485347,1.4054267579214028,0.007734666629306798,43.31725234006329,-78.63450468012658,-76.69487808097458,12,3,10,1.0,6.976917533080865,6.976917533080865,273.9071606145897,246.25827298454303,326.05041667164505,1.0,True,99.06395731219968,0.00492670920475912,0.6717310434902356,1.093859158206905e-06,,,,,
C5,60/40,0.6,KWW,0.7420609085172181,0.6428089294419976,0.00735241694807332,43.925451801620255,-79.85090360324051,-77.9112770040885,12,3,10,,,,,,,,True,99.25458876854313,,,,53463495.40463528,0.6068299545439454,-33260.377956537326,,
C5,70/30,0.7,Classical,2.882055197702748,2.4875048333129257,0.009021550942676022,47.548806742672326,-89.09761348534465,-87.18044149649887,14,3,8,,,,,,,,True,,,,,,,70.40698138483066,27.58733047343897,0.004482788987214184
C5,70/30,0.7,FOK,0.4804783140471375,0.4249812427090838,0.0074847538030267165,50.66328068691637,-93.32656137383275,-90.77033205537171,14,3,8,1.0,4.989161487904067,4.989161487904067,256.67770559546716,235.57467018782896,290.51064399301964,1.0,True,98.77917531014451,0.0036642154781765467,0.7338072795797701,1.0000002781148853e-06,,,,,
C5,70/30,0.7,KWW,1.228109445760148,1.0477843720573734,0.006982049234591573,51.636639996630365,-95.27327999326073,-92.7170506747997,14,3,8,,,,,,,,True,99.0327634876403,,,,24015801.92934229,0.6541599252974207,-36330.43038581391,,
C6,50/50,0.5,Classical,8.413759878897721,7.330355615061164,0.013310579557862285,30.50257571278423,-55.00515142556846,-54.09739614658632,10,2,13,,,,,,,,True,,,,,,,70.79721537234445,27.765811258276987,0.00933048943004501
C6,50/50,0.5,FOK,1.867996516011162,1.5477971452011494,0.011393506867202174,32.55773125697805,-57.1154625139561,-55.905122141979916,10,2,13,1.0,10.699774507529954,10.699774507529954,126.95858080229976,110.18071891262187,156.4335009118079,1.0,True,99.39831514341749,0.00652999742556992,0.72370057228601,1.0000186754758036e-06,,,,,
C6,50/50,0.5,KWW,4.918405233269899,4.189582352436838,0.010762293513361845,33.127680619580154,-58.25536123916031,-57.04502086718412,10,2,13,,,,,,,,True,99.64594083100556,,,,12826654.029983832,0.6423841421510554,-33825.547347077445,,
C6,60/40,0.6,Classical,6.05582184784913,5.0322214749535155,0.012029874894922151,37.51708338323452,-69.03416676646904,-67.57944681710504,12,3,10,,,,,,,,True,,,,,,,65.95230265892268,32.43378043935262,0.0073279505482686386
C6,60/40,0.6,FOK,2.3314485749006875,2.0782481736402274,0.010019876636878335,40.21095154262389,-72.42190308524778,-70.48227648609577,12,3,10,1.0,6.356690441617962,6.356690441617962,123.71707729005627,114.07071242562378,138.25869658366824,1.0,True,99.34998071303247,0.006317911588246823,0.7306613529422764,1.0000000215251112e-06,,,,,
C6,60/40,0.6,KWW,5.2539153365974025,4.9328186030509915,0.009450553812692645,40.91292081765501,-73.82584163531001,-71.886215036158,12,3,10,,,,,,,,True,99.66197933325722,,,,9284523.623303244,0.6384030907453611,-26182.77140572694,,
C6,70/30,0.7,Classical,4.879886338337447,3.7246376775825167,0.011729936814256601,43.873414577276726,-81.74682915455345,-79.82965716570767,14,3,8,,,,,,,,True,,,,,,,62.93818585757711,35.31253112757066,0.006367898656492583
C6,70/30,0.7,FOK,2.245598553897956,2.0437015176009057,0.00963101056437344,47.133600208002434,-86.26720041600487,-83.71097109754383,14,3,8,1.0,5.46349953957926,5.46349953957926,123.11369358266131,114.66511170340412,136.475215336992,0.999,True,99.38403716468757,0.006505541124208092,0.7238518864321745,1.0000040658602115e-06,,,,,
C6,70/30,0.7,KWW,4.651466465663198,4.568033782569187,0.009299347852346181,47.62421460072912,-87.24842920145824,-84.6921998829972,14,3,8,,,,,,,,True,99.77045611312927,,,,2912010.3336902116,0.6213856450344639,-10441.27979794337,,
C7,50/50,0.5,Classical,9.907357024915118,9.042080502517077,0.009943108367542176,33.41937060961099,-60.83874121922199,-59.93098594023985,10,2,13,,,,,,,,True,,,,,,,84.61717059580185,13.843339606831151,0.017896122608643785
C7,50/50,0.5,FOK,2.847799543904892,2.490320597920202,0.005347503186691116,40.12186987881552,-72.24373975763103,-71.03339938565485,10,2,13,0.15384615384615385,3.6898992516632347,20.313344821215033,274.34790560754016,241.06290757360105,321.4748163663431,1.0,True,99.7590117315078,0.011894220438649971,0.5124110526309179,1.000277429390642e-06,,,,,
C7,50/50,0.5,KWW,1.8969742450689926,1.6929385792737226,0.005010514226563939,40.77278195915096,-73.54556391830192,-72.33522354632574,10,2,13,,,,,,,,True,99.85136623797901,,,,705933805.4800688,0.4700061084148036,-21145.299259217158,,
C7,60/40,0.6,Classical,9.649107553291344,9.192486764545084,0.009373202088187881,40.51154363487071,-75.02308726974142,-73.56836732037742,12,3,10,,,,,,,,True,,,,,,,83.04119838601986,15.23899528814184,0.014424956295743715
C7,60/40,0.6,FOK,3.609445554401258,3.4436604264839703,0.00491887599699475,48.748840367223764,-89.49768073444753,-87.55805413529552,12,3,10,0.0,4.460805840669505,28.954144736761577,283.29761615506374,255.92879034123624,316.3375195444034,1.0,True,99.80662595731283,0.012429423269969877,0.5018142540040524,1.0000394121700986e-06,,,,,
C7,60/40,0.6,KWW,2.7782073133859706,2.6622810970130883,0.0047400079946587036,49.19333508122054,-90.38667016244108,-88.44704356328907,12,3,10,,,,,,,,True,99.91301133649405,,,,159383119.91006583,0.4562186423574793,-8516.175123137273,,
C7,70/30,0.7,Classical,8.601165150836643,8.20405947849627,0.009566743199716798,46.72733476438242,-87.45466952876484,-85.53749753991906,14,3,8,,,,,,,,True,,,,,,,81.03192238736649,17.000707759986113,0.011159059151795592
C7,70/30,0.7,FOK,3.6445527736909606,3.4802985618442577,0.00455189592608374,57.62582077574444,-107.25164155148887,-104.69541223302784,14,3,8,0.25,5.352162750191923,22.533675352678,280.16326598471,264.6713858214414,297.04758416818055,1.0,True,99.76321225213809,0.012056275401467375,0.5080443536347292,1.0017137882734963e-06,,,,,
C7,70/30,0.7,KWW,2.923689172573773,2.7979703146183876,0.004345090407443799,58.27678252055718,-108.55356504111435,-105.99733572265332,14,3,8,,,,,,,,True,99.91157619378335,,,,96425593.74131577,0.4560982759185414,-6736.398923953453,,
C8,50/50,0.5,Classical,9.411158541049586,8.543903497397459,0.011872756932127209,31.645703036248378,-57.291406072496756,-56.38365079351462,10,2,13,,,,,,,,True,,,,,,,79.83979288835086,18.634920014114947,0.012146717090519085
C8,50/50,0.5,FOK,1.2944307045883283,1.1326360793238466,0.009441966802604902,34.4365243958786,-60.8730487917572,-59.66270841978101,10,2,13,1.0,7.086414351206945,7.086414351206945,195.4690330688377,170.23310859648848,235.05810539033914,1.0,True,99.4716644024418,0.00783227990878078,0.6264931250619327,1.0000137857565142e-06,,,,,
C8,50/50,0.5,KWW,0.6709902747213722,0.5828748448905297,0.009051791969588895,34.85853999977184,-61.717079999543685,-60.5067396275675,10,2,13,,,,,,,,True,99.63362288426367,,,,74167518.09399395,0.5669123844936331,-29915.753060872546,,
C8,60/40,0.6,Classical,6.855296555427723,6.231208987577157,0.011005982032525714,38.584533595890235,-71.16906719178047,-69.71434724241647,12,3,10,,,,,,,,True,,,,,,,75.21670816257377,23.014906268768826,0.0084757695605637
C8,60/40,0.6,FOK,0.5795759011017062,0.4664929369416789,0.008458467842913106,42.24378433519581,-76.48756867039162,-74.54794207123962,12,3,10,1.0,7.506355159328544,7.506355159328544,188.34701578100584,173.87573732391155,211.38497096801316,0.9954773869346734,True,99.32622587217034,0.006922132667405967,0.6539085348632598,1.0000757137630723e-06,,,,,
C8,60/40,0.6,KWW,1.3649288399608261,1.200805896794467,0.007995335024088095,42.91950195402039,-77.83900390804078,-75.89937730888877,12,3,10,,,,,,,,True,99.54973190513704,,,,43118852.667348996,0.5829935428002301,-27118.097156955555,,
C8,70/30,0.7,Classical,5.503145881923728,4.909891628762595,0.010316618064098533,45.670850449584684,-85.34170089916937,-83.42452891032359,14,3,8,,,,,,,,True,,,,,,,72.37959849340226,25.70298100390039,0.007009889785444103
C8,70/30,0.7,FOK,0.5427510168986092,0.4192497142705065,0.00766853119851968,50.32368307588904,-92.64736615177809,-90.09113683331705,14,3,8,1.0,3.1626831183060977,3.1626831183060977,185.76767803765586,175.06966078771882,198.3363317322492,1.0,True,99.30250936551802,0.006811492511540449,0.6570328724362925,1.0298998682936187e-06,,,,,
C8,70/30,0.7,KWW,1.2900671046456953,1.2306590312431096,0.007261545403202445,51.087137037939186,-94.17427407587837,-91.61804475741734,14,3,8,,,,,,,,True,99.57442146446778,,,,21651005.420275357,0.5784143471686846,-17121.147801627256,,
