split,specimen,qoi,time_h,parameter,method,index_type,value,ci_low,ci_high
50/50,C5,normalized_retention,525.7142857142858,alpha,morris,sigma,0.05889517709489348,,
50/50,C5,normalized_retention,525.7142857142858,f_inf,sobol,first,-0.05025512466507909,-0.14151965514166703,0.04003356351717448
50/50,C5,normalized_retention,525.7142857142858,f_inf,sobol,total,2.2151439392879644e-13,1.9129021105863713e-13,2.5484909191180293e-13
50/50,C5,normalized_retention,525.7142857142858,f_inf,morris,mu_star,1.5670508253934344e-07,,
50/50,C5,normalized_retention,525.7142857142858,f_inf,morris,sigma,7.852760667287783e-08,,
50/50,C5,normalized_retention,537.1428571428571,k,sobol,first,-0.013130685144278065,-0.10694926848478428,0.09947307821804334
50/50,C5,normalized_retention,537.1428571428571,k,sobol,total,0.06425696156665192,0.05488827721693352,0.07157059672676504
50/50,C5,normalized_retention,537.1428571428571,k,morris,mu_star,0.08697842931124271,,
50/50,C5,normalized_retention,537.1428571428571,k,morris,sigma,0.03148546306049488,,
50/50,C5,normalized_retention,537.1428571428571,alpha,sobol,first,0.9297923733636928,0.9213279258909356,0.9385933994267985
50/50,C5,normalized_retention,537.1428571428571,alpha,sobol,total,1.0229682044950992,0.9100946744027117,1.108763451981622
50/50,C5,normalized_retention,537.1428571428571,alpha,morris,mu_star,0.3331182401967499,,
50/50,C5,normalized_retention,537.1428571428571,alpha,morris,sigma,0.05919198320973029,,
50/50,C5,normalized_retention,537.1428571428571,f_inf,sobol,first,-0.050312811910776745,-0.14151380917001113,0.04012074875748127
50/50,C5,normalized_retention,537.1428571428571,f_inf,sobol,total,2.214691097589614e-13,1.9126428761851668e-13,2.547874646389932e-13
50/50,C5,normalized_retention,537.1428571428571,f_inf,morris,mu_star,1.5828572093867787e-07,,
50/50,C5,normalized_retention,537.1428571428571,f_inf,morris,sigma,7.928611872050027e-08,,
50/50,C5,normalized_retention,548.5714285714286,k,sobol,first,-0.013566070463894686,-0.10742799745926046,0.09890183195336466
50/50,C5,normalized_retention,548.5714285714286,k,sobol,total,0.06373840388720792,0.054452901688153435,0.07097024022529032
50/50,C5,normalized_retention,548.5714285714286,k,morris,mu_star,0.08743584624989316,,
50/50,C5,normalized_retention,548.5714285714286,k,morris,sigma,0.03148705414953323,,
50/50,C5,normalized_retention,548.5714285714286,alpha,sobol,first,0.9303910141909095,0.9219761461594111,0.9391257869561342
50/50,C5,normalized_retention,548.5714285714286,alpha,sobol,total,1.0233357516630837,0.9105046399343579,1.1091024887040628
50/50,C5,normalized_retention,548.5714285714286,alpha,morris,mu_star,0.3365848165367385,,
50/50,C5,normalized_retention,548.5714285714286,alpha,morris,sigma,0.05946982092549671,,
50/50,C5,normalized_retention,548.5714285714286,f_inf,sobol,first,-0.050369118274340874,-0.1415079103116472,0.04020702629082506
50/50,C5,normalized_retention,548.5714285714286,f_inf,sobol,total,2.2144349651052275e-13,1.9125581488302974e-13,2.5474821400757183e-13
50/50,C5,normalized_retention,548.5714285714286,f_inf,morris,mu_star,1.598412398065574e-07,,
50/50,C5,normalized_retention,548.5714285714286,f_inf,morris,sigma,8.002831052788331e-08,,
50/50,C5,normalized_retention,560.0,k,sobol,first,-0.013989692489075223,-0.10789301313557484,0.0983443148398683
50/50,C5,normalized_retention,560.0,k,sobol,total,0.06323426137380614,0.05402977448654499,0.07038656955769994
50/50,C5,normalized_retention,560.0,k,morris,mu_star,0.08787727180399989,,
50/50,C5,normalized_retention,560.0,k,morris,sigma,0.03148031475577707,,
50/50,C5,normalized_retention,560.0,alpha,sobol,first,0.9309736216089607,0.9226066228658684,0.9396439371608671
50/50,C5,normalized_retention,560.0,alpha,sobol,total,1.0236922077108837,0.9109025915318426,1.1094304087472702
50/50,C5,normalized_retention,560.0,alpha,morris,mu_star,0.3399855710797993,,
50/50,C5,normalized_retention,560.0,alpha,morris,sigma,0.059729329818137264,,
50/50,C5,normalized_retention,560.0,f_inf,sobol,first,-0.05042409686841909,-0.1415019418766012,0.04029242883209917
50/50,C5,normalized_retention,560.0,f_inf,sobol,total,2.2143645556325588e-13,1.9126381842179226e-13,2.547300942990831e-13
50/50,C5,normalized_retention,560.0,f_inf,morris,mu_star,1.6137239749053344e-07,,
50/50,C5,normalized_retention,560.0,f_inf,morris,sigma,8.075468288409181e-08,,
50/50,C6,normalized_retention,0.0,k,sobol,first,,,
50/50,C6,normalized_retention,0.0,k,sobol,total,,,
50/50,C6,normalized_retention,0.0,k,morris,mu_star,0.0,,
50/50,C6,normalized_retention,0.0,k,morris,sigma,0.0,,
50/50,C6,normalized_retention,0.0,alpha,sobol,first,,,
50/50,C6,normalized_retention,0.0,alpha,sobol,total,,,
50/50,C6,normalized_retention,0.0,alpha,morris,mu_star,0.0,,
