specimen,split,time,lead_time,observed,predicted,signed_residual
C8,50/50,310.0,120.0,72.90249433106575,73.87396752187279,-0.971473190807032
C8,50/50,334.0,144.0,72.44897959183673,72.9007273285272,-0.4517477366904643
C8,50/50,358.0,168.0,71.08843537414967,71.9714063911914,-0.8829710170417258
C8,50/50,382.0,192.0,70.52154195011337,71.08190800264332,-0.5603660525299432
C8,50/50,406.0,216.0,69.38775510204081,70.22873326356296,-0.8409781615221448
C8,50/50,430.0,240.0,67.68707482993197,69.40886427810207,-1.7217894481700995
C8,50/50,478.0,288.0,66.43990929705215,67.85886461683496,-1.4189553197828104
C8,50/50,560.0,370.0,62.69841269841269,65.44765152415665,-2.7492388257439657
C8,60/40,262.0,0.0,74.6031746031746,75.28759036844617,-0.6844157652715808
C8,60/40,286.0,24.0,73.5827664399093,74.13851714794941,-0.5557507080401081
C8,60/40,310.0,48.0,72.90249433106575,73.04640660199378,-0.14391227092802694
C8,60/40,334.0,72.0,72.44897959183673,72.00536723743923,0.44361235439750146
C8,60/40,358.0,96.0,71.08843537414967,71.01046868679653,0.07796668735313972
C8,60/40,382.0,120.0,70.52154195011337,70.057531649666,0.4640103004473701
C8,60/40,406.0,144.0,69.38775510204081,69.14297407074076,0.24478103130005024
C8,60/40,430.0,168.0,67.68707482993197,68.26369605074582,-0.5766212208138484
C8,60/40,478.0,216.0,66.43990929705215,66.600483267194,-0.16057397014184005
C8,60/40,560.0,298.0,62.69841269841269,64.01169775913601,-1.3132850607233237
C8,70/30,310.0,0.0,72.90249433106575,72.98935974304713,-0.08686541198137832
C8,70/30,334.0,24.0,72.44897959183673,71.94173790641214,0.5072416854245887
C8,70/30,358.0,48.0,71.08843537414967,70.94041511995383,0.14802025419584197
C8,70/30,382.0,72.0,70.52154195011337,69.9812134764685,0.5403284736448768
C8,70/30,406.0,96.0,69.38775510204081,69.060550589321,0.3272045127198169
C8,70/30,430.0,120.0,67.68707482993197,68.17532502457217,-0.4882501946402016
C8,70/30,478.0,168.0,66.43990929705215,66.50068037884843,-0.06077108179627544
C8,70/30,560.0,250.0,62.69841269841269,63.89372879817376,-1.1953160997610723
