split,specimen,qoi,parameter,method,index_type,value,ci_low,ci_high
50/50,C6,T_0.80,alpha,morris,mu_star,350.46387762641984,,
50/50,C6,T_0.80,alpha,morris,sigma,198.98057358845642,,
50/50,C6,T_0.80,f_inf,sobol,first,0.015599184861823101,-0.0600155229333332,0.08616255517311719
50/50,C6,T_0.80,f_inf,sobol,total,4.628501461622619e-14,3.741186762425869e-14,5.65751601493153e-14
50/50,C6,T_0.80,f_inf,morris,mu_star,7.133335307614175e-05,,
50/50,C6,T_0.80,f_inf,morris,sigma,6.875711590668207e-05,,
50/50,C7,T_0.80,k,sobol,first,0.0741206940444159,-0.04326634330624459,0.20671139142594905
50/50,C7,T_0.80,k,sobol,total,0.1718379310271033,0.13348958545156475,0.21120922163102904
50/50,C7,T_0.80,k,morris,mu_star,386.44923643841713,,
50/50,C7,T_0.80,k,morris,sigma,351.4356637418988,,
50/50,C7,T_0.80,alpha,sobol,first,0.8130227462880544,0.7774111565799642,0.8491307754543598
50/50,C7,T_0.80,alpha,sobol,total,0.9135389224866033,0.8193484253619092,1.0440220034325114
50/50,C7,T_0.80,alpha,morris,mu_star,991.4450367285093,,
50/50,C7,T_0.80,alpha,morris,sigma,624.470366908861,,
50/50,C7,T_0.80,f_inf,sobol,first,0.010810506831289701,-0.08327009871314155,0.10624659302865853
50/50,C7,T_0.80,f_inf,sobol,total,6.950455151900992e-14,5.470922081832302e-14,9.01843685050018e-14
50/50,C7,T_0.80,f_inf,morris,mu_star,0.00020458303330563865,,
50/50,C7,T_0.80,f_inf,morris,sigma,0.00023183925307472571,,
50/50,C8,T_0.80,k,sobol,first,0.060676654070480396,-0.03887469990631223,0.17123198802583714
50/50,C8,T_0.80,k,sobol,total,0.14653639688978068,0.12074819191289612,0.17622175885817581
50/50,C8,T_0.80,k,morris,mu_star,171.79248945658634,,
50/50,C8,T_0.80,k,morris,sigma,203.3648634588659,,
50/50,C8,T_0.80,alpha,sobol,first,0.8720465559546176,0.8453689201168938,0.8983555620377788
50/50,C8,T_0.80,alpha,sobol,total,0.9467504371764238,0.8341717668985961,1.0583164326617436
50/50,C8,T_0.80,alpha,morris,mu_star,585.9087169418166,,
50/50,C8,T_0.80,alpha,morris,sigma,385.2744677535724,,
50/50,C8,T_0.80,f_inf,sobol,first,-0.040221942429224056,-0.11185629939357988,0.04434584737174755
50/50,C8,T_0.80,f_inf,sobol,total,4.753512494949379e-14,3.745605736822587e-14,5.699229691945006e-14
50/50,C8,T_0.80,f_inf,morris,mu_star,0.00019028866170565096,,
50/50,C8,T_0.80,f_inf,morris,sigma,0.00018118610231087815,,
60/40,C1,T_0.80,k,sobol,first,0.05675844146140385,-0.06827197684071368,0.14135945909748152
60/40,C1,T_0.80,k,sobol,total,0.14818578480483133,0.12586252198971346,0.17624556448313577
60/40,C1,T_0.80,k,morris,mu_star,105.6514698161016,,
60/40,C1,T_0.80,k,morris,sigma,119.25634708219798,,
60/40,C1,T_0.80,alpha,sobol,first,0.8717977377728973,0.8439643055633997,0.8939650094812346
60/40,C1,T_0.80,alpha,sobol,total,0.9873593489446734,0.8989549774424976,1.0901235876696214
60/40,C1,T_0.80,alpha,morris,mu_star,315.83588647250997,,
60/40,C1,T_0.80,alpha,morris,sigma,227.5139007629557,,
60/40,C1,T_0.80,f_inf,sobol,first,-0.04371572708865723,-0.13363020884465765,0.0243651002583562
60/40,C1,T_0.80,f_inf,sobol,total,5.6566512897028114e-14,4.390992798711367e-14,7.061715673220594e-14
60/40,C1,T_0.80,f_inf,morris,mu_star,3.290329060625652e-05,,
60/40,C1,T_0.80,f_inf,morris,sigma,2.7394066916433775e-05,,
60/40,C2,T_0.80,k,sobol,first,0.07950314539225134,-0.028529974393009035,0.19199020881249046
60/40,C2,T_0.80,k,sobol,total,0.14441078991753986,0.10569424509339762,0.1785390283702676
60/40,C2,T_0.80,k,morris,mu_star,413.1795764617838,,
60/40,C2,T_0.80,k,morris,sigma,444.6460682411628,,
60/40,C2,T_0.80,alpha,sobol,first,0.8748945280908937,0.8483943019844433,0.8967054639113468
60/40,C2,T_0.80,alpha,sobol,total,0.8927010595975244,0.7879085313226835,0.9895717714863952
60/40,C2,T_0.80,alpha,morris,mu_star,1032.9778661742907,,
60/40,C2,T_0.80,alpha,morris,sigma,694.570651598293,,
